Country,Code,Year,CO2_Emissions,Plastic_Waste_Tonnes
Syria,SYR,2010,61721950.0,1365594.0
Tanzania,TZA,2010,7194109.0,386998.0
Thailand,THA,2010,241018980.0,3532495.0
Togo,TGO,2010,2595698.0,135294.0
Tonga,TON,2010,117248.0,8476.0
Trinidad and Tobago,TTO,2010,47111836.0,1745123.0
Tunisia,TUN,2010,28137812.0,559235.0
Turkey,TUR,2010,316193060.0,5596657.0
Tuvalu,TUV,2010,10992.0,554.0
Ukraine,UKR,2010,294365800.0,1724509.0
United Arab Emirates,ARE,2010,184842300.0,600741.0
United Kingdom,GBR,2010,511904580.0,4925590.0
United States,USA,2010,5679715300.0,37825550.0
Uruguay,URY,2010,6297960.0,310379.0
Vanuatu,VUT,2010,120912.0,25443.0
Venezuela,VEN,2010,189316720.0,2669998.0
Vietnam,VNM,2010,139563840.0,3268227.0
Yemen,YEM,2010,25713402.0,887497.0
