Country,Total_Annual_Water_Used,Daily_Water_Per_Capita,Population
United Arab Emirates,3998000000.0,2559,4280993
United Kingdom,8420000000.0,351,65655203
United States,444300000000.0,3750,324607776
Uruguay,3660000000.0,3046,3292224
Uzbekistan,54560000000.0,4752,31453574
Venezuela,22630000000.0,2252,27525097
Vietnam,82030000000.0,2703,83142095
Yemen,3565000000.0,458,21320671
Zambia,1572000000.0,410,10508294
Zimbabwe,3570000000.0,786,12450568
