Country,Code,Year,CO2_Emissions,Plastic_Waste_Tonnes,Total_Annual_Water_Used,Daily_Water_Per_Capita,Population
Nigeria,NGA,2010,114532830.0,5961750.0,12470000000.0,212,160952853
North Korea,PRK,2010,65358830.0,484700.0,8658000000.0,984,24100982
Norway,NOR,2010,45621000.0,499682.0,3026000000.0,1760,4709577
Oman,OMN,2010,51177628.0,93251.0,1321000000.0,1488,2431600
Pakistan,PAK,2010,154201780.0,6412210.0,183500000000.0,2704,185931955
Panama,PAN,2010,9072099.0,192818.0,1211000000.0,824,4026336
Papua New Guinea,PNG,2010,4714717.0,267234.0,392100000.0,165,6498818
Peru,PER,2010,42505100.0,1543879.0,13660000000.0,1299,28806185
Philippines,PHL,2010,82598310.0,2565766.0,85140000000.0,2224,104875266
Poland,POL,2010,334222430.0,1346905.0,10580000000.0,752,38532113
Portugal,PRT,2010,52889748.0,1022683.0,9151000000.0,2373,10565551
Qatar,QAT,2010,73421576.0,103933.0,444000000.0,1433,848710
Romania,ROU,2010,84287750.0,310385.0,6374000000.0,882,19797820
Russia,RUS,2010,1632783200.0,5839685.0,69500000000.0,1312,145109157
Saint Lucia,LCA,2010,487312.0,32882.0,42900000.0,702,167518
Saudi Arabia,SAU,2010,555962200.0,1561618.0,23350000000.0,1871,34193122
Senegal,SEN,2010,6862391.0,485586.0,2221000000.0,598,10180950
Seychelles,SYC,2010,443344.0,11730.0,13700000.0,437,85883
Sierra Leone,SLE,2010,542272.0,96655.0,212200000.0,102,5683334
Slovenia,SVN,2010,16459732.0,108421.0,887300000.0,1163,2090020
Somalia,SOM,2010,611888.0,237569.0,3298000000.0,926,9758281
South Africa,ZAF,2010,462999680.0,4465798.0,15500000000.0,788,53873616
South Korea,KOR,2010,594339140.0,2025772.0,29200000000.0,1671,47889573
Spain,ESP,2010,282938430.0,4709157.0,32850000000.0,1937,46464551
Sri Lanka,LKA,2010,13050987.0,2621606.0,12950000000.0,1803,19673866
Sudan,SDN,2010,15069764.0,1292740.0,26930000000.0,2144,34419624
Suriname,SUR,2010,2370056.0,31300.0,615900000.0,3232,522023
Sweden,SWE,2010,53119860.0,164305.0,2689000000.0,785,9381729
Syria,SYR,2010,61721950.0,1365594.0,16760000000.0,2471,18583557
Tanzania,TZA,2010,7194109.0,386998.0,5184000000.0,391,36353531
Thailand,THA,2010,241018980.0,3532495.0,57310000000.0,2350,66826754
Togo,TGO,2010,2595698.0,135294.0,169000000.0,88,5281538
Trinidad and Tobago,TTO,2010,47111836.0,1745123.0,383200000.0,739,1420020
Tunisia,TUN,2010,28137812.0,559235.0,4875000000.0,1131,11811443
Turkey,TUR,2010,316193060.0,5596657.0,58950000000.0,1993,81019394
Ukraine,UKR,2010,294365800.0,1724509.0,9862000000.0,603,44833569
United Arab Emirates,ARE,2010,184842300.0,600741.0,3998000000.0,2559,4280993
United Kingdom,GBR,2010,511904580.0,4925590.0,8420000000.0,351,65655203
United States,USA,2010,5679715300.0,37825550.0,444300000000.0,3750,324607776
Uruguay,URY,2010,6297960.0,310379.0,3660000000.0,3046,3292224
Venezuela,VEN,2010,189316720.0,2669998.0,22630000000.0,2252,27525097
Vietnam,VNM,2010,139563840.0,3268227.0,82030000000.0,2703,83142095
Yemen,YEM,2010,25713402.0,887497.0,3565000000.0,458,21320671
